Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\FXSVLSQM" ("\NJAAVEHV\FXSVLSQM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Microchip Technology"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MCP16331T-E/CH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "MCP16331_SOT23-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MCP16331T-E/CHCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "MCP16331"; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "RGV"; UniqueID = "\MHDNAPTU\JHYZSQVM" ("\MHDNAPTU\JHYZSQVM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TSC2046IRGVT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "TSC2046_QFN16EP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "296-48788-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "TSC2046"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "WROVER-E"; UniqueID = "\NJAAVEHV\YBQYTLJH" ("\NJAAVEHV\YBQYTLJH")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Espressif Systems"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ESP32-WROVER-E (16MB)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ESP32-WROVER-E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1965-ESP32-WROVER-E(16MB)CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "ESP32-WROVER-E"; VariantName = "[No Variations]"
Change component parameters: Designator = "U4" ("U4"); Footprint = "QFN32EP"; UniqueID = "\NJAAVEHV\UTOGOMWA" ("\NJAAVEHV\UTOGOMWA")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "NXP USA Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MK20DX128VFM5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "MK20DX128VFM5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "AP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MK20DX128VFM5-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "MK20DX128VFM5"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5" ("U5"); Footprint = "SO8"; UniqueID = "\NJAAVEHV\GQQGKMBX" ("\NJAAVEHV\GQQGKMBX")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "1140-1017-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Cypress Semiconductor Corp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FM24CL64B-GTR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "FM24CL64B_SO8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "428-3434-6-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "FM24CL64B-GTR"; VariantName = "[No Variations]"
Change component parameters: Designator = "U7" ("U7"); Footprint = "SOIC16N"; UniqueID = "\MLKEBXPQ\FLAJYOCL" ("\MLKEBXPQ\FLAJYOCL")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ST3232ECDR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ST3232_SOIC16N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-6537-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "ST3232ECDR"; VariantName = "[No Variations]"
Change component parameters: Designator = "U8" ("U8"); Footprint = "SO8"; UniqueID = "\MLKEBXPQ\REUUWUAW" ("\MLKEBXPQ\REUUWUAW")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ST3485EBDR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ST3485_SO8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-2080-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "ST3485EBDR"; VariantName = "[No Variations]"
Change component parameters: Designator = "U9" ("U9"); Footprint = "SO8"; UniqueID = "\MLKEBXPQ\TPTOVMKS" ("\MLKEBXPQ\TPTOVMKS")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "296-26343-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SN65HVD231_SO8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "SN65HVD231DR"; VariantName = "[No Variations]"
Change component parameters: Designator = "Y1" ("Y1"); Footprint = "FSXLF"; UniqueID = "\NJAAVEHV\KYKIFSIX" ("\NJAAVEHV\KYKIFSIX")
Change component parameters (AddParameter): Name = "APROBO"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "631-1001-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "XTAL_32768_FSXLF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "32.768KHz"; VariantName = "[No Variations]"
Change component parameters: Designator = "Y2" ("Y2"); Footprint = "ECS-1210"; UniqueID = "\NJAAVEHV\IDYHFGBN" ("\NJAAVEHV\IDYHFGBN")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "AP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ECS Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ECS-.327-12.5-1210-TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "XTAL_32768_XC2282CT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "XC2282CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "32.768KHz"; VariantName = "[No Variations]"
Added Component: Designator=R12(0603)
Add component (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RES0603_10R_5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603JT10R0CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Added Component: Designator=R65(0402)
Add component (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT33R0CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer #"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RES0402_33R_5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "33R"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=R12-1
Added Pin To Net: NetName=NetJ2_1 Pin=R12-2
Added Pin To Net: NetName=MTMS Pin=R65-1
Added Pin To Net: NetName=NetR17_2 Pin=R65-2
Added Member To Class: ClassName=U_M5_Display_GLCD Member=Component R12 10R
Added Member To Class: ClassName=U_M5_Display_MCU Member=Component R65 33R
